"lag","mean","q25","q75","n_events","elev_zone","elev_band"
-6,0.0847233702587797,-0.441572692625911,0.713060607213628,26,1,"<500 m"
-5,0.067443069051408,-0.337097068337651,0.621184904433651,26,1,"<500 m"
-4,0.0424507062720981,-0.692732606284074,0.646231359114201,26,1,"<500 m"
-3,0.0534640343471878,-0.300313496991991,0.450303534956428,26,1,"<500 m"
-2,0.130784754573994,-0.473780598368733,0.771153741777394,26,1,"<500 m"
-1,0.197692952303187,-0.330624928460063,0.847562882767757,26,1,"<500 m"
0,0.236282904991313,-0.319767055349279,0.810154639305835,26,1,"<500 m"
1,0.174294766272619,-0.401074834850211,0.702047500499642,26,1,"<500 m"
2,0.173189212893612,-0.163528235779924,0.621184904433651,26,1,"<500 m"
3,0.140304112173449,-0.0363942446102101,0.626129534130794,26,1,"<500 m"
4,0.195554124878331,-0.0731785233219652,0.776947602101073,26,1,"<500 m"
5,0.19875084548289,-0.301936156489509,0.828083199771763,26,1,"<500 m"
6,0.195340899435695,-0.291797466315718,0.866014711804136,26,1,"<500 m"
7,0.215729593692962,-0.1801734181886,0.776947602101073,26,1,"<500 m"
8,0.167395007562593,-0.0741783987898993,0.785663369109553,26,1,"<500 m"
9,0.172048822755866,-0.149166389264815,0.584569278850394,26,1,"<500 m"
10,0.203849805004855,-0.137834464449771,0.810990132599214,26,1,"<500 m"
11,0.15455308120584,-0.337097068337651,0.822831264062316,26,1,"<500 m"
12,0.206528342698213,-0.445317579429047,0.925155106740628,26,1,"<500 m"
-6,0.0723115777865396,-0.27072153452424,0.525420793230416,26,2,"500–1500 m"
-5,0.0585621317764029,-0.285081967530985,0.399821660130089,26,2,"500–1500 m"
-4,0.0666562951481195,-0.264463950446767,0.392369972661973,26,2,"500–1500 m"
-3,0.0878860256636415,-0.290544737682214,0.57189062636706,26,2,"500–1500 m"
-2,0.107756762266574,-0.188630326383696,0.406354586257199,26,2,"500–1500 m"
-1,0.14665630709091,-0.14969594029506,0.512826674365618,26,2,"500–1500 m"
0,0.150548400063035,-0.289513725919194,0.519389099412257,26,2,"500–1500 m"
1,0.15473362310353,-0.191303457763566,0.646954391576429,26,2,"500–1500 m"
2,0.131902758856244,-0.118911470536896,0.682557871905866,26,2,"500–1500 m"
3,0.0374178384805981,-0.191290897398475,0.554586663004158,26,2,"500–1500 m"
4,0.0528649819426853,-0.171795958070824,0.463904624829601,26,2,"500–1500 m"
