"date","km2","type"
1985-01-01,0,"hot_dry"
1985-02-01,0,"hot_dry"
1985-03-01,0,"hot_dry"
1985-04-01,0,"hot_dry"
1985-05-01,86951.4289608002,"hot_dry"
1985-06-01,2012.79043960571,"hot_dry"
1985-07-01,0,"hot_dry"
1985-08-01,0,"hot_dry"
1985-09-01,0,"hot_dry"
1985-10-01,0,"hot_dry"
1985-11-01,0,"hot_dry"
1985-12-01,0,"hot_dry"
1986-01-01,0,"hot_dry"
1986-02-01,5155.05006980896,"hot_dry"
1986-03-01,0,"hot_dry"
1986-04-01,0,"hot_dry"
1986-05-01,0,"hot_dry"
1986-06-01,0,"hot_dry"
1986-07-01,0,"hot_dry"
1986-08-01,0,"hot_dry"
1986-09-01,0,"hot_dry"
1986-10-01,0,"hot_dry"
1986-11-01,0,"hot_dry"
1986-12-01,0,"hot_dry"
1987-01-01,0,"hot_dry"
1987-02-01,0,"hot_dry"
1987-03-01,0,"hot_dry"
1987-04-01,0,"hot_dry"
1987-05-01,0,"hot_dry"
1987-06-01,0,"hot_dry"
1987-07-01,0,"hot_dry"
1987-08-01,0,"hot_dry"
1987-09-01,0,"hot_dry"
1987-10-01,0,"hot_dry"
1987-11-01,0,"hot_dry"
1987-12-01,0,"hot_dry"
1988-01-01,38965.0939159393,"hot_dry"
1988-02-01,0,"hot_dry"
1988-03-01,0,"hot_dry"
1988-04-01,0,"hot_dry"
1988-05-01,0,"hot_dry"
1988-06-01,0,"hot_dry"
1988-07-01,94614.6302394867,"hot_dry"
1988-08-01,56917.5058612823,"hot_dry"
1988-09-01,177129.742326736,"hot_dry"
1988-10-01,0,"hot_dry"
1988-11-01,0,"hot_dry"
1988-12-01,0,"hot_dry"
1989-01-01,0,"hot_dry"
1989-02-01,0,"hot_dry"
1989-03-01,0,"hot_dry"
1989-04-01,0,"hot_dry"
1989-05-01,514.788436889648,"hot_dry"
1989-06-01,2143.16526603699,"hot_dry"
1989-07-01,2703.51281356812,"hot_dry"
1989-08-01,0,"hot_dry"
1989-09-01,0,"hot_dry"
1989-10-01,0,"hot_dry"
1989-11-01,49649.4084682465,"hot_dry"
1989-12-01,0,"hot_dry"
1990-01-01,0,"hot_dry"
1990-02-01,0,"hot_dry"
1990-03-01,0,"hot_dry"
1990-04-01,0,"hot_dry"
1990-05-01,0,"hot_dry"
1990-06-01,0,"hot_dry"
1990-07-01,0,"hot_dry"
1990-08-01,0,"hot_dry"
1990-09-01,0,"hot_dry"
1990-10-01,0,"hot_dry"
1990-11-01,0,"hot_dry"
1990-12-01,0,"hot_dry"
1991-01-01,0,"hot_dry"
1991-02-01,0,"hot_dry"
1991-03-01,0,"hot_dry"
1991-04-01,0,"hot_dry"
1991-05-01,506.896394729614,"hot_dry"
1991-06-01,1055.29761314392,"hot_dry"
1991-07-01,0,"hot_dry"
1991-08-01,0,"hot_dry"
1991-09-01,201.590219497681,"hot_dry"
1991-10-01,0,"hot_dry"
1991-11-01,76.997200012207,"hot_dry"
1991-12-01,0,"hot_dry"
1992-01-01,0,"hot_dry"
1992-02-01,0,"hot_dry"
1992-03-01,0,"hot_dry"
1992-04-01,0,"hot_dry"
1992-05-01,0,"hot_dry"
1992-06-01,0,"hot_dry"
1992-07-01,176253.972660065,"hot_dry"
1992-08-01,0,"hot_dry"
1992-09-01,0,"hot_dry"
1992-10-01,0,"hot_dry"
1992-11-01,0,"hot_dry"
1992-12-01,0,"hot_dry"
1993-01-01,0,"hot_dry"
