"elev_zone","elev_band","n","mean","sd","med","q25","q75","metric"
1,"<500 m",16120,3.60949131513648,2.76247878311481,3,1,6,"hotdry_freq"
1,"<500 m",13392,1.01193285890128,0.048396344220222,1,1,1,"hotdry_meandur"
1,"<500 m",13362,0.0166842164632707,0.786906750759798,0.0609383545815945,-0.62980318069458,0.580018475651741,"hotdry_resistance"
1,"<500 m",11355,2.06073517144278,1.87740788505488,1,1,2.16666674613953,"hotdry_recovery"
2,"500–1500 m",6452,1.74346586125132,1.39235552716849,1,1,2,"hotdry_recovery"
2,"500–1500 m",9099,2.73150895702824,2.43953199922639,2,1,4,"hotdry_freq"
2,"500–1500 m",7318,1.03157079587969,0.0749585690861108,1,1,1,"hotdry_meandur"
2,"500–1500 m",7277,0.242939737773836,0.600287154515114,0.231881588697433,-0.142229646444321,0.586059749126434,"hotdry_resistance"
3,"1500–2500 m",3644,0.201688156368083,0.463374529738504,0.229935526847839,-0.13544512167573,0.528929471969604,"hotdry_resistance"
3,"1500–2500 m",3627,2.24050244796628,1.42984761099179,1.83333337306976,1,3,"hotdry_recovery"
3,"1500–2500 m",3690,3.89918699186992,1.68633446428858,4,3,5,"hotdry_freq"
3,"1500–2500 m",3644,1.02661877572864,0.080269231770381,1,1,1,"hotdry_meandur"
4,"2500–3500 m",946,1.01077427155876,0.0605336900311306,1,1,1,"hotdry_meandur"
4,"2500–3500 m",911,0.184730806286912,0.517101752270629,0.271338790655136,-0.0744582414627075,0.530967950820923,"hotdry_resistance"
4,"2500–3500 m",945,2.03957671917305,1.10433310644395,1.75,1,2.66666674613953,"hotdry_recovery"
4,"2500–3500 m",946,4.11627906976744,1.58405056514529,4,3,5,"hotdry_freq"
5,">=3500 m",3060,3.55,1.31147150272195,3,3,4,"hotdry_freq"
5,">=3500 m",3059,1.00222878636937,0.0228461714375161,1,1,1,"hotdry_meandur"
5,">=3500 m",2039,-0.261544083226953,0.828279864822439,-0.320363283157349,-0.85068678855896,0.331066116690636,"hotdry_resistance"
5,">=3500 m",2539,3.8042677092524,1.42378272064709,3.75,3,4.75,"hotdry_recovery"
