"elev_zone","elev_band","n","mean","sd","med","q25","q75","metric"
1,"<500 m",16120,0.197208436724566,0.513969767710145,0,0,0,"hotwet_freq"
1,"<500 m",2362,1,0,1,1,1,"hotwet_meandur"
1,"<500 m",2219,0.8143187264077,0.823171377812192,0.715469598770142,0.342216625809669,1.19989335536957,"hotwet_resistance"
1,"<500 m",2170,1.83425499250263,1.95230228666505,1,1,1,"hotwet_recovery"
2,"500–1500 m",1475,2.25525423728814,2.33805848720549,1,1,2,"hotwet_recovery"
2,"500–1500 m",9099,0.252445323661941,0.512015776269951,0,0,0,"hotwet_freq"
2,"500–1500 m",1963,1,0,1,1,1,"hotwet_meandur"
2,"500–1500 m",1945,0.245910309320296,0.776173670607212,0.0360126569867134,-0.348449289798737,0.884647011756897,"hotwet_resistance"
3,"1500–2500 m",114,-0.280647236024634,0.833313767948374,-0.438107848167419,-1.00170639157295,0.311712026596069,"hotwet_resistance"
3,"1500–2500 m",68,2.13235294117647,1.6831421554237,1,1,3,"hotwet_recovery"
3,"1500–2500 m",3690,0.0308943089430894,0.173054808075726,0,0,0,"hotwet_freq"
3,"1500–2500 m",114,1,0,1,1,1,"hotwet_meandur"
4,"2500–3500 m",29,1,0,1,1,1,"hotwet_meandur"
4,"2500–3500 m",28,0.919385908969811,0.195639899969295,0.948025941848755,0.838957935571671,1.04527923464775,"hotwet_resistance"
4,"2500–3500 m",29,1,0,1,1,1,"hotwet_recovery"
4,"2500–3500 m",946,0.0306553911205074,0.172473427621345,0,0,0,"hotwet_freq"
5,">=3500 m",3060,0.0892156862745098,0.28965159130168,0,0,0,"hotwet_freq"
5,">=3500 m",269,1,0,1,1,1,"hotwet_meandur"
5,">=3500 m",113,0.210966039218206,0.757363457576879,0.397509038448334,-0.41695961356163,0.90872859954834,"hotwet_resistance"
5,">=3500 m",119,3.64705882352941,3.21697888407404,1,1,7,"hotwet_recovery"
